station_id,date,charging_sessions,energy_delivered_kwh,revenue_usd,is_weekend,day_of_week,is_forecast
GS-0007,2024-10-29,13.2,603.6,206.41,False,1,False
GS-0007,2024-10-30,16.6,716.6,245.08,False,2,False
GS-0007,2024-10-31,20.8,969.7,331.61,False,3,False
GS-0007,2024-11-01,10.3,394.7,134.98,False,4,False
GS-0007,2024-11-02,19.3,879.9,300.92,True,5,False
GS-0007,2024-11-03,18.2,702.5,240.24,True,6,False
GS-0007,2024-11-04,10.3,432.9,148.03,False,0,False
GS-0007,2024-11-05,12.0,565.3,193.32,False,1,False
GS-0007,2024-11-06,11.2,524.0,179.2,False,2,False
GS-0007,2024-11-07,16.0,784.4,268.26,False,3,False
GS-0007,2024-11-08,10.9,482.6,165.02,False,4,False
GS-0007,2024-11-09,19.3,837.7,286.49,True,5,False
GS-0007,2024-11-10,21.0,1019.5,348.66,True,6,False
GS-0007,2024-11-11,19.1,751.1,256.87,False,0,False
GS-0007,2024-11-12,9.9,465.2,159.11,False,1,False
GS-0007,2024-11-13,13.0,517.2,176.86,False,2,False
GS-0007,2024-11-14,15.1,691.8,236.58,False,3,False
GS-0007,2024-11-15,18.7,844.5,288.8,False,4,False
GS-0007,2024-11-16,14.1,622.0,212.73,True,5,False
GS-0007,2024-11-17,21.7,1012.9,346.4,True,6,False
GS-0007,2024-11-18,15.8,633.3,216.59,False,0,False
GS-0007,2024-11-19,14.7,550.4,188.23,False,1,False
GS-0007,2024-11-20,16.5,812.9,278.01,False,2,False
GS-0007,2024-11-21,11.1,422.6,144.53,False,3,False
GS-0007,2024-11-22,11.7,457.6,156.49,False,4,False
GS-0007,2024-11-23,20.2,919.7,314.54,True,5,False
GS-0007,2024-11-24,9.4,414.5,141.76,True,6,False
GS-0007,2024-11-25,18.1,790.2,270.24,False,0,False
GS-0007,2024-11-26,9.9,457.3,156.38,False,1,False
GS-0007,2024-11-27,23.8,1049.5,358.9,False,2,False
GS-0007,2024-11-28,15.2,733.4,250.82,False,3,False
GS-0007,2024-11-29,16.7,703.4,240.53,False,4,False
GS-0007,2024-11-30,18.4,750.8,256.76,True,5,False
GS-0007,2024-12-01,17.2,744.3,254.53,True,6,False
GS-0007,2024-12-02,11.5,552.9,189.09,False,0,False
GS-0007,2024-12-03,15.0,629.9,215.42,False,1,False
GS-0007,2024-12-04,13.6,588.7,201.32,False,2,False
GS-0007,2024-12-05,16.8,783.4,267.91,False,3,False
GS-0007,2024-12-06,18.2,782.9,267.72,False,4,False
GS-0007,2024-12-07,9.0,363.6,124.34,True,5,False
GS-0007,2024-12-08,19.3,832.7,284.76,True,6,False
GS-0007,2024-12-09,17.7,874.5,299.05,False,0,False
GS-0007,2024-12-10,17.9,818.0,279.74,False,1,False
GS-0007,2024-12-11,19.4,944.0,322.82,False,2,False
GS-0007,2024-12-12,23.0,1067.0,364.88,False,3,False
GS-0007,2024-12-13,15.9,764.8,261.55,False,4,False
GS-0007,2024-12-14,28.5,1273.5,435.52,True,5,False
GS-0007,2024-12-15,20.0,810.2,277.07,True,6,False
GS-0007,2024-12-16,9.6,415.2,141.98,False,0,False
GS-0007,2024-12-17,20.1,759.0,259.57,False,1,False
GS-0007,2024-12-18,17.1,749.4,256.27,False,2,False
GS-0007,2024-12-19,28.6,1264.4,432.39,False,3,False
GS-0007,2024-12-20,16.3,798.1,272.94,False,4,False
GS-0007,2024-12-21,22.8,869.5,297.34,True,5,False
GS-0007,2024-12-22,18.7,863.2,295.18,True,6,False
GS-0007,2024-12-23,23.4,1037.0,354.62,False,0,False
GS-0007,2024-12-24,18.0,737.3,252.13,False,1,False
GS-0007,2024-12-25,17.1,797.1,272.6,False,2,False
GS-0007,2024-12-26,19.9,856.5,292.91,False,3,False
GS-0007,2024-12-27,19.3,851.0,291.04,False,4,False
GS-0007,2024-12-28,21.1,1001.6,342.54,True,5,False
GS-0007,2024-12-29,26.0,1017.1,347.82,True,6,False
GS-0007,2024-12-30,20.2,877.4,300.04,False,0,False
GS-0007,2024-12-31,17.7,759.4,259.71,False,1,False
GS-0007,2025-01-01,19.8,993.0,339.59,False,2,False
GS-0007,2025-01-02,23.7,1167.6,399.3,False,3,False
GS-0007,2025-01-03,23.5,1097.7,375.38,False,4,False
GS-0007,2025-01-04,29.0,1433.3,490.18,True,5,False
GS-0007,2025-01-05,26.0,977.4,334.26,True,6,False
GS-0007,2025-01-06,17.3,727.1,248.66,False,0,False
GS-0007,2025-01-07,20.8,788.8,269.74,False,1,False
GS-0007,2025-01-08,13.4,664.1,227.1,False,2,False
GS-0007,2025-01-09,15.8,639.9,218.82,False,3,False
GS-0007,2025-01-10,21.0,870.6,297.72,False,4,False
GS-0007,2025-01-11,39.6,1622.2,554.75,True,5,False
GS-0007,2025-01-12,25.7,1186.0,405.59,True,6,False
GS-0007,2025-01-13,20.0,1000.8,342.26,False,0,False
GS-0007,2025-01-14,17.6,811.1,277.39,False,1,False
GS-0007,2025-01-15,20.4,916.5,313.42,False,2,False
GS-0007,2025-01-16,16.8,699.4,239.17,False,3,False
GS-0007,2025-01-17,19.3,750.6,256.7,False,4,False
GS-0007,2025-01-18,19.2,927.2,317.07,True,5,False
GS-0007,2025-01-19,26.7,1004.8,343.61,True,6,False
GS-0007,2025-01-20,19.9,765.2,261.69,False,0,False
GS-0007,2025-01-21,12.1,527.3,180.32,False,1,False
GS-0007,2025-01-22,20.8,844.4,288.78,False,2,False
GS-0007,2025-01-23,21.3,1047.5,358.24,False,3,False
GS-0007,2025-01-24,18.2,733.3,250.76,False,4,False
GS-0007,2025-01-25,30.2,1228.9,420.25,True,5,False
GS-0007,2025-01-26,25.8,1127.5,385.59,True,6,False
GS-0007,2025-01-27,18.7,760.3,260.0,False,0,False
GS-0007,2025-01-28,20.4,976.6,333.96,False,1,False
GS-0007,2025-01-29,16.9,788.7,269.71,False,2,False
GS-0007,2025-01-30,21.5,1013.5,346.61,False,3,False
GS-0007,2025-01-31,22.0,923.7,315.9,False,4,False
GS-0007,2025-02-01,29.1,1282.5,438.59,True,5,False
GS-0007,2025-02-02,19.5,727.8,248.88,True,6,False
GS-0007,2025-02-03,25.6,1241.9,424.71,False,0,False
GS-0007,2025-02-04,20.8,914.0,312.56,False,1,False
GS-0007,2025-02-05,22.9,1022.1,349.55,False,2,False
GS-0007,2025-02-06,25.6,993.6,339.8,False,3,False
GS-0007,2025-02-07,13.6,632.6,216.33,False,4,False
GS-0007,2025-02-08,34.8,1649.3,564.03,True,5,False
GS-0007,2025-02-09,29.9,1425.4,487.47,True,6,False
GS-0007,2025-02-10,20.7,877.8,300.2,False,0,False
GS-0007,2025-02-11,28.4,1165.5,398.58,False,1,False
GS-0007,2025-02-12,19.2,856.6,292.93,False,2,False
GS-0007,2025-02-13,28.1,1106.3,378.34,False,3,False
GS-0007,2025-02-14,28.2,1266.1,433.0,False,4,False
GS-0007,2025-02-15,37.6,1848.6,632.17,True,5,False
GS-0007,2025-02-16,34.8,1646.4,563.02,True,6,False
GS-0007,2025-02-17,21.6,975.6,333.65,False,0,False
GS-0007,2025-02-18,26.0,1254.2,428.9,False,1,False
GS-0007,2025-02-19,27.1,1185.3,405.36,False,2,False
GS-0007,2025-02-20,27.7,1179.0,403.21,False,3,False
GS-0007,2025-02-21,23.1,858.6,293.61,False,4,False
GS-0007,2025-02-22,31.7,1181.8,404.15,True,5,False
GS-0007,2025-02-23,35.9,1652.8,565.23,True,6,False
GS-0007,2025-02-24,21.4,904.6,309.34,False,0,False
GS-0007,2025-02-25,21.1,978.3,334.58,False,1,False
GS-0007,2025-02-26,22.5,875.2,299.29,False,2,False
GS-0007,2025-02-27,22.7,878.5,300.42,False,3,False
GS-0007,2025-02-28,19.4,842.6,288.16,False,4,False
GS-0007,2025-03-01,16.2,662.9,226.71,True,5,False
GS-0007,2025-03-02,28.2,1401.8,479.39,True,6,False
GS-0007,2025-03-03,22.4,974.2,333.17,False,0,False
GS-0007,2025-03-04,30.0,1138.4,389.31,False,1,False
GS-0007,2025-03-05,21.8,908.0,310.52,False,2,False
