id,name,latitude,longitude,address,city,state,postcode,country,power_kw,connector_types,access_type,operator,network,status
3040,INTERPARK,41.877804,-87.629911,318 S Federal St,Chicago,IL,60604,,3.7,,Unknown,Unknown,Unknown,Unknown
3605,InterPark - South Loop Self-Park Garage,41.87741852,-87.63001251,318 S Federal St,Chicago,IL,60604,,0.0,,Unknown,Unknown,Unknown,Unknown
3463,InterPark - South Loop Self-Park Garage,41.87741852,-87.63001251,318 S Federal St,Chicago,IL,60604,,0.0,,Unknown,Unknown,Unknown,Unknown
246864,175 W JACKSON 175 W JACKSON,41.877872,-87.6332,175 Jackson Blvd,Chicago,IL,60604,,3.7,,Unknown,Unknown,Unknown,Unknown
28682,LAZ PARKING LLC,41.8807571,-87.6291122,30 W Monroe St,Chicago,IL,60603,,3.7,,Unknown,Unknown,Unknown,Unknown
2972,INTERPARK,41.879396,-87.626578,17 E Adams St,Chicago,IL,60603,,3.7,,Unknown,Unknown,Unknown,Unknown
228337,425 S. FIN PLAC 440LASALLE,41.876306,-87.632975,425 S Financial Pl,Chicago,IL,60605,,3.7,,Unknown,Unknown,Unknown,Unknown
269903,Inland Steel Building Garage,41.88124376024821,-87.62923300266266,53 S. Dearborn St.,Chicago,IL,60603,,3.7,,Unknown,Unknown,Unknown,Unknown
246863,INTERPARK 314 S WELLS 1,41.877528,-87.634217,314 S Wells St,Chicago,IL,60606,,3.7,,Unknown,Unknown,Unknown,Unknown
159883,Tower Self Park,41.8790805,-87.63455515,211 West Adams,Chicago,IL,60606,,3.7,,Unknown,Unknown,Unknown,Unknown
67461,Grant Park South - Tesla,41.8774374,-87.6242333,325 S Michigan Ave,Chicago,IL,60604,,6.0,,Unknown,Unknown,Unknown,Unknown
228346,Parking Garage - 70 West Madison - Tesla Destination,41.882312,-87.630943,11 N Clark St,Chicago,IL,60602,,3.7,,Unknown,Unknown,Unknown,Unknown
142883,PARKING GARAGE 111SW STATION 2,41.880164,-87.636483,111 S Wacker Dr,Chicago,IL,60606,,3.7,,Unknown,Unknown,Unknown,Unknown
142884,IRVINE  CO  OFC 71SW L1 09-10,41.880947,-87.636038,71 S Wacker Dr,Chicago,IL,60606,,3.7,,Unknown,Unknown,Unknown,Unknown
142877,THE COOPER,41.87309,-87.633797,720 S Wells St,Chicago,IL,60699,,3.7,,Unknown,Unknown,Unknown,Unknown
81366,Grant Park North,41.882267,-87.624325,25 N Michigan Ave,Chicago,IL,60602,,6.0,,Unknown,Unknown,Unknown,Unknown
246869,INTERPARK 217WASHINGTON 3,41.883001,-87.634317,219 W Washington St,Chicago,IL,60606,,3.7,,Unknown,Unknown,Unknown,Unknown
246867,ONE SOUTH WACKE OSW STATION #1,41.881597,-87.636514,1 S Wacker Dr,Chicago,IL,60606,,3.7,,Unknown,Unknown,Unknown,Unknown
246856,THE COOPER GATEWAY,41.87256,-87.633911,720 S Wells St,Chicago,IL,60607,,3.7,,Unknown,Unknown,Unknown,Unknown
2975,INTERPARK,41.8834035,-87.635081,230 W Washington St,Chicago,IL,60606,,3.7,,Unknown,Unknown,Unknown,Unknown
142876,The Atlantic Condominium Association,41.87167,-87.626889,"270 17Th Street, Nw",Atlanta,GA,30363,,3.0,,Unknown,Unknown,Unknown,Unknown
228334,ABM OLD POST OFFICE,41.875714,-87.638725,404 W Harrison St,Chicago,IL,60607,,3.7,,Unknown,Unknown,Unknown,Unknown
2976,INTERPARK,41.884864,-87.627044,20 E Randolph St,Chicago,IL,60601,,3.7,,Unknown,Unknown,Unknown,Unknown
246868,110 UPPERWACKER STATION 2,41.882767,-87.637283,110 N Upper Wacker Dr,Chicago,IL,60606,,3.7,,Unknown,Unknown,Unknown,Unknown
3606,Theatre District Self-Park Garage - InterPark,41.8854599,-87.62924957,181 N Dearborn St,Chicago,IL,60601,,0.0,,Unknown,Unknown,Unknown,Unknown
