id,name,latitude,longitude,address,city,state,postcode,country,power_kw,connector_types,access_type,operator,network,status
253415,BMM-CP-000504,51.507351,-0.127758,Rainsford Road,Chelmsford,,CM1 2XB,,7.0,,Unknown,Unknown,Unknown,Unknown
4396,Masterpark Trafalgar Square Car Park,51.507291,-0.128896,Spring Garden,London,,SW1A 2BN,,0.0,,Unknown,Unknown,Unknown,Unknown
52877,Q-Park Trafalgar Car Park,51.507099,-0.130117,Spring Gardens,London,,SW1A 2TS,,7.0,,Unknown,Unknown,Unknown,Unknown
146490,Coutts Bank,51.50890313863235,-0.12553378823179173,440 Strand,London,,WC2R 0QS,,7.0,,Unknown,Unknown,Unknown,Unknown
4399,Q-Park Leicester Square Car Park,51.509162,-0.13065,Whitcomb Street,London,,WC2H 7DT,,4.0,,Unknown,Unknown,Unknown,Unknown
170689,Westminster-Whitehall Place,51.506477,-0.12377,Whitehall Place,Westminster,London,SW1A 2BD,,7.0,,Unknown,Unknown,Unknown,Unknown
104898,Saint Martins Lane Hotel,51.510475,-0.126729,Saint Martins Lane Hotel,45 Saint Martin's Lane,London,WC2N 4HX,,50.0,,Unknown,Unknown,Unknown,Unknown
253530,Junc. Bedfordbury,51.510492,-0.125554,Junc. Bedfordbury,London,,WC2N 4DQ,,5.0,,Unknown,Unknown,Unknown,Unknown
99712,Stirling Square,51.506042,-0.133653,5 - 7 Carlton Gardens,London,,SW1Y 5AD,,7.0,,Unknown,Unknown,Unknown,Unknown
107862,St James Square,51.507729,-0.13457,St James Square,London,,SW1Y 4PD,,7.0,,Unknown,Unknown,Unknown,Unknown
129386,St James's Square,51.50773,-0.13457,St James's Square,,,SW1Y 4PD,,7.0,,Unknown,Unknown,Unknown,Unknown
4413,Masterpark Chinatown Car Park,51.512046,-0.129753,Newport Place,London,,WC2H 7PU,,0.0,,Unknown,Unknown,Unknown,Unknown
253591,5 Upper St Martin's Lane,51.512373,-0.12711,5 Upper St Martin's Lane,London,,WC2H 9NY,,3.7,,Unknown,Unknown,Unknown,Unknown
128396,Q-Park Chinatown,51.512299,-0.129615,Q-Park Chinatown,20 Newport Place,London,WC2H 7PR,,50.0,,Unknown,Unknown,Unknown,Unknown
46743,Southampton Street,51.5109927464186,-0.122040510177612,Southampton Street,London,,WC2E 7HE,,4.0,,Unknown,Unknown,Unknown,Unknown
253607,Q-Park Chinatown,51.512699,-0.130012,20 Newport Place,London,,WC2H 7PR,,3.0,,Unknown,Unknown,Unknown,Unknown
285956,33 King Charles Street,51.501845,-0.127892,33 King Charles Street,London,,SW1A 2AH,,5.0,,Unknown,Unknown,Unknown,Unknown
253610,Q-Park Chinatown,51.512798,-0.130113,20 Newport Place,London,,WC2H 7PR,,22.0,,Unknown,Unknown,Unknown,Unknown
4409,NCP Brewer Street - Chargepost 1,51.511865,-0.134884,2 Lexington Street,London,,W1F 0LA,,0.0,,Unknown,Unknown,Unknown,Unknown
253549,Shell Recharge/Ubitricity,51.511428,-0.135708,null,London,,W1F 9UN,,5.0,,Unknown,Unknown,Unknown,Unknown
253565,Exeter Street,51.511902,-0.119569,City of London,London,,WC2E 7DU,,3.0,,Unknown,Unknown,Unknown,Unknown
5832,Belvedere Road Car Park,51.5052551,-0.1168898,Belvedere Road,Lambeth,London,SE1 8XU,,0.0,,Unknown,Unknown,Unknown,Unknown
253213,Shell Recharge/Ubitricity,51.501,-0.13328,null,London,,SW1H 9AB,,5.0,,Unknown,Unknown,Unknown,Unknown
19466,Exeter Street,51.51229585,-0.119148037008377,Opposite 17 Exeter Street,London,,WC2E 7DU,,7.0,,Unknown,Unknown,Unknown,Unknown
132780,Golden Square,51.511818,-0.137617,33 Golden Square,London,,W1F 9JT,,22.0,,Unknown,Unknown,Unknown,Unknown
187712,23 Queen Anne's Gate,51.500544,-0.133597,23 Queen Anne's Gate,London,,SW1H 9BU,,3.7,,Unknown,Unknown,Unknown,Unknown
67840,Trenchard House,51.513535,-0.135519,19-25 Broadwick Street,London,,W1F 0DF,,7.0,,Unknown,Unknown,Unknown,Unknown
5510,NCP Car Park Drury Lane,51.51422,-0.12136,Parker Street,,London,WC2b 5NT,,0.0,,Unknown,Unknown,Unknown,Unknown
