id,name,latitude,longitude,address,city,state,postcode,country,power_kw,connector_types,access_type,operator,network,status
139728,Caltrans - District 32,34.052238,-118.243344,100 S Main St,Los Angeles,CA,90012,,3.7,,Unknown,Unknown,Unknown,Unknown
139727,ONNI SQUARE,34.052017,-118.245732,221 W 2ND ST,Los Angeles,CA,90012,,3.0,,Unknown,Unknown,Unknown,Unknown
139733,City Hall East P1,34.053051,-118.241806,201 N Los Angeles St,Los Angeles,CA,90012,,3.7,,Unknown,Unknown,Unknown,Unknown
241147,ONNI SQUARE STATION 2,34.052609,-118.24581,221 W 2ND ST,Los Angeles,CA,90012,,3.7,,Unknown,Unknown,Unknown,Unknown
72918,DoubleTree by Hilton - Tesla,34.0505282,-118.2426489,120 S Los Angeles St,Los Angeles,CA,90012,,8.0,,Unknown,Unknown,Unknown,Unknown
281778,Los Angeles & 2nd,34.050009,-118.243651,203 S. Los Angeles St.,Los Angeles,CA,90012,,3.7,,Unknown,Unknown,Unknown,Unknown
241151,GSA CW 350 WEST 1ST,34.05377,-118.245784,300-354 W 1st St,Los Angeles,CA,90012,,3.7,,Unknown,Unknown,Unknown,Unknown
122210,Los Angeles Police Department - Main Street Parking,34.0497723610577,-118.245105779098,260 S Main St,Los Angeles,CA,90012,,50.0,,Unknown,Unknown,Unknown,Unknown
139723,Aiso Street Parking Garage,34.051235,-118.240515,101 Judge John Aiso St,Los Angeles,CA,90012,,40.0,,Unknown,Unknown,Unknown,Unknown
241104,AVA LITTLE TOKYO 1,34.049281,-118.243911,236 S Los Angeles St,Los Angeles,CA,90012,,3.7,,Unknown,Unknown,Unknown,Unknown
241103,430617 : AVA Little Tokyo,34.0489937,-118.2437437,236 South Los Angeles Street,Los Angeles,CA,90012,,3.7,,Unknown,Unknown,Unknown,Unknown
122237,Los Angeles County - Hall of Records Lot 10,34.055641,-118.244271,227 N Broadway,Los Angeles,CA,90012,,3.7,,Unknown,Unknown,Unknown,Unknown
122207,Ronald Reagan State Building,34.049286,-118.246717,300 S Spring St,Los Angeles,CA,90013,,3.7,,Unknown,Unknown,Unknown,Unknown
122217,DGS MAIN,34.050775,-118.248151,300 W 3rd St,Los Angeles,CA,90013,,3.0,,Unknown,Unknown,Unknown,Unknown
241133,282 S Hill St,34.052198,-118.248472,282 S Hill St,Los Angeles,CA,90012,,3.7,,Unknown,Unknown,Unknown,Unknown
139730,BROOKFIELD WEST,34.052931,-118.248509,235 S Hill St,Los Angeles,CA,90012,,3.0,,Unknown,Unknown,Unknown,Unknown
241158,GALA Parking,34.054562,-118.248333,131 South Olive Street,Los Angeles,CA,90012,,3.7,,Unknown,Unknown,Unknown,Unknown
241092,LA COURTHOUSE 2 GW 1,34.047596,-118.24527,350 W 1St,Los Angeles,CA,90013,,3.7,,Unknown,Unknown,Unknown,Unknown
122195,CITY OF LA,34.047854,-118.2468473,101-115 E 4th St,Los Angeles,CA,90013,,3.0,,Unknown,Unknown,Unknown,Unknown
139731,GOLDRICH & KEST,34.053407,-118.249858,225 S Olive St,Los Angeles,CA,90012,,3.0,,Unknown,Unknown,Unknown,Unknown
121128,EV CHARGER 1,34.0476717,-118.240258,360 E 2nd St,Los Angeles,CA,90012,,3.0,,Unknown,Unknown,Unknown,Unknown
241094,412 S MAIN ST,34.047766,-118.247409,412 S MAIN ST,Los Angeles,CA,90013,,3.7,,Unknown,Unknown,Unknown,Unknown
122239,LA County ISD Walt Disney Parking Garage P3,34.055505,-118.248852,111 S Grand Ave,Los Angeles,CA,90012,,50.0,,Unknown,Unknown,Unknown,Unknown
241138,LADWP - Temple St,34.052494,-118.23696,444 E Ducommun St,Los Angeles,CA,90012,,3.7,,Unknown,Unknown,Unknown,Unknown
241161,Los Angeles County - Hall of Administration Board of Supervisors,34.0565004,-118.2481775,140 N Grand Ave,Los Angeles,CA,90012,,3.7,,Unknown,Unknown,Unknown,Unknown
241089,414 S LOS ANGELES ST,34.046915,-118.246501,414 S LOS ANGELES ST,Los Angeles,CA,90014,,3.7,,Unknown,Unknown,Unknown,Unknown
241163,LA County HOA Lower Lot 18 Fleet,34.056889,-118.247789,140 N Grand Ave,Los Angeles,CA,90012,,3.7,,Unknown,Unknown,Unknown,Unknown
122219,LADWP - Ducommun Center,34.051852,-118.236702,433 E Temple St,Los Angeles,CA,90012,,3.7,,Unknown,Unknown,Unknown,Unknown
241137,ONE CAL PLAZA P1 07,34.052376,-118.250755,300 S Grand Ave,Los Angeles,CA,90071,,3.7,,Unknown,Unknown,Unknown,Unknown
220612,LA PLAZA PUBLIC STATION3,34.057614,-118.241021,555 N Spring St,Los Angeles,CA,90012,,3.7,,Unknown,Unknown,Unknown,Unknown
122208,DGS MAIN,34.04953,-118.24999,320 W 4th St,Los Angeles,CA,90013,,3.0,,Unknown,Unknown,Unknown,Unknown
220614,LA PLAZA PUBLIC STATION4,34.057674,-118.241139,555 N Spring St,Los Angeles,CA,90012,,3.7,,Unknown,Unknown,Unknown,Unknown
241160,651 W 1st,34.056143,-118.249264,651 W 1st,Los Angeles,CA,90012,,3.7,,Unknown,Unknown,Unknown,Unknown
220616,LA PLAZA CVS UPSTAIRS4,34.058162,-118.241181,555 N Broadway,Los Angeles,CA,90012,,3.7,,Unknown,Unknown,Unknown,Unknown
139724,CIM,34.0512543,-118.2513623,350 S Grand Ave,Los Angeles,CA,90071,,40.0,,Unknown,Unknown,Unknown,Unknown
241146,ONE CAL PLAZA P1 04,34.052583,-118.251437,300 S Grand Ave,Los Angeles,CA,90071,,3.7,,Unknown,Unknown,Unknown,Unknown
