session_id,station_id,vehicle_type,connector_type,start_time,duration_minutes,energy_kwh,city,latitude,longitude,temperature_c,is_weekday,hour_of_day,Time of Day,Day of Week,Charging Rate (kW),Energy Consumed (kWh),Charging Duration (hours)
session_1,station_18,Audi e-tron,CHAdeMO,2025-04-25 23:10:08,25,67.45594023914714,Phoenix,34.9137464518294,-116.83179273497561,5.460402494127351,True,9,Evening,Friday,50,67.45594023914714,0.4166666666666667
session_2,station_45,Rivian R1T,Tesla Supercharger,2025-04-25 23:10:08,96,73.60436407391444,Houston,43.23849491570398,-122.28572921165909,-2.1422883818959972,False,8,Night,Wednesday,350,73.60436407391444,1.6
session_3,station_25,Tesla Model 3,CCS,2025-04-25 23:10:08,106,36.068402809934454,San Antonio,40.66782856244859,-86.07688317294182,31.132459580371986,True,15,Evening,Tuesday,50,36.068402809934454,1.7666666666666666
session_4,station_4,Nissan Leaf,Tesla Supercharger,2025-04-25 23:10:08,98,13.673610726171194,Houston,36.64216795325816,-80.15030768349021,-2.1310560454072025,False,16,Afternoon,Saturday,350,13.673610726171194,1.6333333333333333
session_5,station_3,Chevy Bolt,Type 2,2025-04-25 23:10:08,104,54.41250195477104,San Diego,30.528550381528017,-95.04292318158662,23.29850162409457,False,10,Evening,Wednesday,50,54.41250195477104,1.7333333333333334
session_6,station_11,Kia EV6,Type 2,2025-04-25 23:10:08,25,72.62651298590595,Los Angeles,30.318438821832927,-110.32012933794677,16.78673519392498,True,17,Night,Saturday,50,72.62651298590595,0.4166666666666667
session_7,station_10,Nissan Leaf,Tesla Supercharger,2025-04-25 23:10:08,17,19.33816331198821,Phoenix,45.38377670545069,-76.47509919607111,-2.2010004798185108,True,20,Evening,Sunday,150,19.33816331198821,0.2833333333333333
session_8,station_49,Rivian R1T,Type 2,2025-04-25 23:10:08,26,78.44487202287885,Philadelphia,37.49556457573508,-104.9594860370774,4.600438328691537,True,6,Morning,Friday,50,78.44487202287885,0.43333333333333335
session_9,station_24,Audi e-tron,Type 2,2025-04-25 23:10:08,20,36.525301435056804,San Francisco,30.93971478464358,-72.8325676173576,9.258045033410781,True,0,Night,Tuesday,350,36.525301435056804,0.3333333333333333
session_10,station_4,Audi e-tron,CCS,2025-04-25 23:10:08,18,34.994643380849546,Dallas,33.16691431157389,-102.03737673801021,8.39511238691755,False,14,Night,Wednesday,50,34.994643380849546,0.3
session_11,station_30,Tesla Model Y,CHAdeMO,2025-04-25 23:10:08,91,65.10171657558881,San Francisco,38.19702202492455,-85.11971522046727,21.838224667972515,False,6,Afternoon,Saturday,50,65.10171657558881,1.5166666666666666
session_12,station_3,Chevy Bolt,Type 2,2025-04-25 23:10:08,20,21.008343228513354,Chicago,44.64419980561104,-109.4990705338027,16.87733824517706,False,2,Evening,Tuesday,50,21.008343228513354,0.3333333333333333
session_13,station_8,Hyundai Kona Electric,Type 2,2025-04-25 23:10:08,41,69.17578681407275,San Francisco,39.38420761912247,-109.22560243117046,26.120651953143273,True,14,Afternoon,Thursday,50,69.17578681407275,0.6833333333333333
session_14,station_37,Ford Mustang Mach-E,CCS,2025-04-25 23:10:08,84,49.64099132524369,San Francisco,37.974384485117255,-73.01143812371558,-3.690291875996886,True,2,Morning,Monday,350,49.64099132524369,1.4
session_15,station_6,Volkswagen ID.4,Type 2,2025-04-25 23:10:08,90,75.32283423818258,Phoenix,33.691425756176685,-91.04047464676911,-4.638817243270866,True,15,Morning,Monday,50,75.32283423818258,1.5
session_16,station_31,Volkswagen ID.4,Tesla Supercharger,2025-04-25 23:10:08,109,64.89017104373582,Los Angeles,37.534684983434445,-95.29167646726445,9.438455173841756,True,11,Afternoon,Friday,50,64.89017104373582,1.8166666666666667
session_17,station_2,Volkswagen ID.4,CCS,2025-04-25 23:10:08,112,44.510793096086324,Dallas,45.20526213917682,-110.9996064583585,29.133466483181273,False,17,Afternoon,Tuesday,150,44.510793096086324,1.8666666666666667
session_18,station_16,Hyundai Kona Electric,CCS,2025-04-25 23:10:08,118,21.962499736559785,Chicago,44.313891974116856,-84.90361497070256,-7.47553072732805,False,3,Evening,Tuesday,350,21.962499736559785,1.9666666666666666
