session_id,station_id,vehicle_type,connector_type,start_time,duration_minutes,energy_kwh,city,latitude,longitude,temperature_c,is_weekday,hour_of_day
session_1,station_21,Audi e-tron,CCS,2025-04-25 23:10:08,56,30.78370479211477,Chicago,30.76601649533766,-72.76348066055837,13.902464325376432,True,10
session_2,station_31,Rivian R1T,Type 2,2025-04-25 23:10:08,31,73.686758188207,Houston,42.66176212511598,-78.01793663739677,-2.156053538140098,True,17
session_3,station_8,Rivian R1T,Tesla Supercharger,2025-04-25 23:10:08,38,33.72255979034747,Dallas,33.609196531413374,-80.9812482186688,15.769182824440136,False,14
session_4,station_23,Tesla Model 3,Tesla Supercharger,2025-04-25 23:10:08,58,56.97604915301943,San Diego,38.48085359497986,-118.73779695753458,15.813635386827563,True,21
session_5,station_14,Tesla Model 3,Type 2,2025-04-25 23:10:08,102,31.373221167819278,Los Angeles,32.931484485841665,-76.15997602822453,34.75696829672532,True,17
session_6,station_23,Volkswagen ID.4,CHAdeMO,2025-04-25 23:10:08,78,21.441932833063646,Philadelphia,41.63620633687897,-78.87939529265194,-4.45939718410015,True,5
session_7,station_23,Tesla Model 3,Type 2,2025-04-25 23:10:08,15,21.829907897916186,Phoenix,39.74605280969632,-79.30157017428311,17.846358776437075,True,1
session_8,station_26,Tesla Model Y,CCS,2025-04-25 23:10:08,72,62.84003655640956,Philadelphia,39.06952406843436,-114.77248653820924,-6.506518828712959,False,14
session_9,station_15,Volkswagen ID.4,Tesla Supercharger,2025-04-25 23:10:08,77,28.245420727389984,Houston,29.077083894661264,-76.39557529979231,-7.395365676818531,False,6
session_10,station_35,Ford Mustang Mach-E,CCS,2025-04-25 23:10:08,28,51.189218682874255,Houston,32.88069894449883,-84.18313532585273,18.728172936464027,True,20
session_11,station_22,Kia EV6,Type 2,2025-04-25 23:10:08,55,50.24518001106806,Dallas,31.911582001689837,-124.23410444563703,6.9230529551944855,True,18
session_12,station_43,Volkswagen ID.4,CHAdeMO,2025-04-25 23:10:08,110,50.13270599156935,Philadelphia,39.034437880652995,-102.22025557779101,22.712100874591385,True,23
session_13,station_22,Audi e-tron,Type 2,2025-04-25 23:10:08,69,13.04715870050634,San Francisco,44.42476437453941,-97.8585514936062,18.030099610609877,False,3
session_14,station_15,Hyundai Kona Electric,Type 2,2025-04-25 23:10:08,21,59.23366776780542,Phoenix,30.748059410408125,-116.69759725036805,30.699310362679256,True,3
session_15,station_21,Hyundai Kona Electric,Tesla Supercharger,2025-04-25 23:10:08,18,73.35329929074094,San Francisco,47.413282432322134,-124.12773711203724,17.188898211405725,True,16
session_16,station_21,Volkswagen ID.4,CHAdeMO,2025-04-25 23:10:08,49,44.51704853276527,New York,35.751102926679714,-79.0744617384434,5.107932499569845,False,15
session_17,station_45,Volkswagen ID.4,CHAdeMO,2025-04-25 23:10:08,92,68.50959152433082,New York,34.10599668143648,-119.04900653439513,32.708941279546636,False,14
session_18,station_34,Rivian R1T,Type 2,2025-04-25 23:10:08,54,63.021286663730486,Houston,27.929899447747204,-120.10945860777714,27.236642099340422,True,0
session_19,station_8,Rivian R1T,Type 2,2025-04-25 23:10:08,69,12.948556348881187,Chicago,42.81236311796758,-87.44665409152181,21.318312554273277,True,15
session_20,station_25,Nissan Leaf,CCS,2025-04-25 23:10:08,116,25.11512967569002,Dallas,25.625894188562732,-106.21462508185321,26.713035089141982,True,23
session_21,station_13,Hyundai Kona Electric,CCS,2025-04-25 23:10:08,58,38.20861828688461,San Antonio,42.28421497999189,-105.91632574127851,2.380818648998435,False,21
session_22,station_20,Volkswagen ID.4,Tesla Supercharger,2025-04-25 23:10:08,69,33.05914491376386,Los Angeles,47.33362530946211,-119.23758462244227,16.656874014902645,False,11
session_23,station_22,Rivian R1T,CHAdeMO,2025-04-25 23:10:08,37,10.824363911075164,Phoenix,38.56563537854737,-81.21985779504271,2.644107926810868,True,15
session_24,station_29,Nissan Leaf,CHAdeMO,2025-04-25 23:10:08,30,35.36887182748112,New York,35.359462759293265,-103.12232834057122,21.074618142658395,True,13
session_25,station_2,Chevy Bolt,CHAdeMO,2025-04-25 23:10:08,90,23.660864912870707,New York,42.202324578314276,-116.03463883289581,22.307034387899684,True,14
session_26,station_33,Chevy Bolt,Type 2,2025-04-25 23:10:08,39,48.79205907609576,New York,26.152376535616543,-104.17633342730596,18.584449281644332,False,8
session_27,station_46,Tesla Model Y,Type 2,2025-04-25 23:10:08,21,66.72055691628823,Los Angeles,39.75222301188031,-99.07293458221754,-3.564242616238662,True,7
session_28,station_8,Nissan Leaf,Tesla Supercharger,2025-04-25 23:10:08,37,60.502967511493516,Dallas,36.226640469361314,-88.50723089542788,21.17715155595038,True,23
session_29,station_31,Hyundai Kona Electric,CCS,2025-04-25 23:10:08,50,73.1464295911116,New York,34.758751295429,-96.59441163002705,5.031668430062686,True,10
session_30,station_50,Tesla Model Y,CHAdeMO,2025-04-25 23:10:08,88,31.464322857451286,Houston,42.234756742495044,-82.25829350667598,17.464545477991052,False,12
session_31,station_44,Tesla Model 3,Type 2,2025-04-25 23:10:08,111,53.8618064195421,Chicago,34.273525762403,-110.70646564763516,9.506822676602113,False,5
session_32,station_6,Nissan Leaf,Type 2,2025-04-25 23:10:08,91,37.0837501695627,Philadelphia,43.682032182174964,-95.42932567664127,-2.571316833367554,False,19
session_33,station_2,Kia EV6,CHAdeMO,2025-04-25 23:10:08,50,64.95473776443309,New York,40.158169553510845,-113.06569168478066,5.104256563054751,True,1
session_34,station_24,Kia EV6,CCS,2025-04-25 23:10:08,76,16.043807619116077,Chicago,44.16690997042325,-74.91744157600377,3.2936352866464844,False,2
session_35,station_17,Volkswagen ID.4,CHAdeMO,2025-04-25 23:10:08,72,13.238027937916009,San Antonio,37.73698054174847,-106.38767928942326,28.513187384091886,False,14
session_36,station_44,Kia EV6,CHAdeMO,2025-04-25 23:10:08,108,23.781353171934594,San Antonio,47.77149923281783,-82.31796433913075,1.9190348501792442,False,10
session_37,station_31,Tesla Model Y,Type 2,2025-04-25 23:10:08,30,16.45684722831108,San Diego,47.74066321988817,-76.32443894991295,24.53246648123944,False,14
