station_id,latitude,longitude,viability_score,roi_percent,population_density,avg_income,traffic_volume,commercial_properties,ev_ownership
GS-0001,39.4818488016066,-117.69301291375048,52.1,11.0,4670,110140,18324,97,0.133
GS-0002,40.24778300763904,-75.67580788714653,55.0,10.4,4291,83947,17842,58,0.207
GS-0003,34.790718449247684,-83.10299722314255,49.9,9.9,8752,47656,4003,68,0.104
GS-0004,33.55242192896824,-71.15717632214614,51.4,12.2,5630,81085,24064,67,0.079
GS-0005,34.666959299069795,-90.54358818504687,50.4,12.5,2234,132271,23315,82,0.069
GS-0006,45.22439780096808,-94.40254249041013,28.5,3.9,5140,104151,15671,55,0.043
GS-0007,36.63547998767999,-84.81423845458622,76.1,18.2,8223,82073,39774,88,0.113
GS-0008,46.698975909851214,-93.30352904263998,57.9,12.8,503,118496,6722,97,0.23
GS-0009,44.23786043744058,-95.17681604030034,37.8,7.4,4113,122999,9687,17,0.103
GS-0010,46.21459611575767,-116.56111939524004,53.2,11.4,4386,31159,41360,94,0.041
GS-0011,43.72767795907241,-114.49988538950457,42.4,6.1,7312,141233,6524,64,0.091
GS-0012,38.01714444859322,-106.73752054038738,64.9,14.8,1502,130589,26008,99,0.171
GS-0013,30.214188041129454,-109.39757230427114,67.2,16.4,7580,119830,31302,79,0.15
GS-0014,39.29494291396192,-105.25834283692504,54.4,8.2,2747,125039,19882,33,0.188
GS-0015,43.09280062567903,-82.77790263250094,60.2,13.7,8878,147361,10508,13,0.201
GS-0016,34.9357079016966,-110.75499628712988,38.4,8.2,4028,107505,11223,65,0.168
GS-0017,46.017433020256824,-92.25301140832545,63.1,11.8,5444,125049,25171,75,0.09
GS-0018,30.227024643677826,-73.52963374596948,37.6,6.3,1114,83160,45724,25,0.082
GS-0019,39.87595857368553,-82.42901989642242,44.3,10.2,4174,85012,16884,50,0.059
GS-0020,31.58857110585255,-79.33803931697082,56.8,8.9,6664,64654,40480,54,0.156
GS-0021,39.6458653795283,-101.07804097841844,48.4,7.2,4018,142417,2485,84,0.203
GS-0022,46.003778201152414,-108.47850341773346,43.9,8.1,3059,99572,47446,10,0.084
GS-0023,36.69974568934249,-99.55683404515298,50.8,11.3,5974,89726,18707,95,0.115
GS-0024,44.218626381927464,-94.4174558980153,67.7,11.0,8087,74868,26241,87,0.151
GS-0025,31.12887454740841,-86.36971656407235,41.3,6.8,1385,98108,16945,83,0.121
GS-0026,45.39859536325543,-75.04596823660827,20.6,6.9,1917,57730,25308,10,0.02
GS-0027,43.55376906846385,-81.25788042582916,40.5,10.0,6991,80585,4872,14,0.218
GS-0028,35.602011458842746,-97.2214981782967,47.7,8.5,4546,103500,17612,80,0.121
GS-0029,45.42442098909304,-120.87634390676145,52.3,9.9,6215,96317,30338,64,0.177
GS-0030,43.37172736866236,-110.88484957268706,59.1,10.5,9078,133390,39421,38,0.13
GS-0031,46.3714576788806,-94.50000963887494,36.4,4.3,4538,53771,30476,49,0.052
GS-0032,42.0824911628964,-98.7032014607726,42.1,10.1,9190,72011,17886,17,0.164
GS-0033,43.06113848654727,-85.73257217392177,38.2,8.0,581,43795,42672,16,0.198
GS-0034,44.14925554496149,-106.72149930083455,38.9,6.6,1928,48895,6613,14,0.216
GS-0035,44.90873032374309,-99.4807297622817,25.8,5.4,3066,62638,13932,16,0.101
GS-0036,46.6874680675099,-97.66233977632149,77.8,16.3,7917,127541,26629,49,0.237
GS-0037,40.67586528639231,-74.91299134931725,84.5,17.1,8659,113224,34176,86,0.176
GS-0038,47.21412340332468,-95.28036298723822,38.9,10.1,836,136558,4496,82,0.17
GS-0039,39.81718627500627,-100.57633521955574,68.1,15.1,613,109383,49764,99,0.109
GS-0040,43.073344793521514,-90.45249007524879,44.0,6.5,1058,138361,12277,77,0.054
GS-0041,36.27339914264312,-92.14212699370412,76.8,13.2,8522,104355,46040,78,0.149
GS-0042,42.802957222032404,-120.47570660016997,54.9,11.7,4729,130647,28269,10,0.2
GS-0043,44.27827898442594,-77.54953208398572,55.7,12.4,9203,63000,8997,40,0.242
GS-0044,45.2529970326136,-107.372502074734,37.7,7.8,1775,35084,13467,90,0.168
GS-0045,41.12734111452046,-115.4490084199997,65.4,12.6,8259,30421,39677,82,0.181
GS-0046,30.450146132750383,-109.09277455794151,30.7,7.1,3539,31943,21067,48,0.154
GS-0047,31.865323615946924,-100.1911401466941,57.8,9.5,9136,122837,25587,11,0.189
GS-0048,38.26947956789581,-108.05808808987923,54.9,12.4,9867,59963,9006,53,0.114
GS-0049,42.62739101132666,-79.18406388221564,48.7,12.1,9069,97506,46488,29,0.035
GS-0050,30.710842833823754,-117.7125490782896,44.4,7.9,8421,128842,2123,25,0.077
